"Date","Price","is_interpolated"
1996-10-07,10.88,FALSE
1996-10-08,10.82,FALSE
1996-10-09,10.78,FALSE
1996-10-10,10.88,FALSE
1996-10-11,10.81,FALSE
1996-10-14,10.86,FALSE
1996-10-15,10.73,FALSE
1996-10-16,10.7,FALSE
1996-10-17,10.77,FALSE
1996-10-18,10.64,FALSE
1996-10-21,10.57,FALSE
1996-10-22,10.63,FALSE
1996-10-23,10.65,FALSE
1996-10-24,10.66,FALSE
1996-10-25,10.7,FALSE
1996-10-28,10.54,FALSE
1996-10-29,10.49,FALSE
1996-10-30,10.47,FALSE
1996-10-31,10.3,FALSE
1996-11-01,10.36,FALSE
1996-11-04,10.35,FALSE
1996-11-05,10.33,FALSE
1996-11-06,10.4,FALSE
1996-11-07,10.48,FALSE
1996-11-08,10.53,FALSE
1996-11-11,10.55,FALSE
1996-11-12,10.38,FALSE
1996-11-13,10.48,FALSE
1996-11-14,10.37,FALSE
1996-11-15,10.35,FALSE
1996-11-18,10.46,FALSE
1996-11-19,10.69,FALSE
1996-11-20,10.68,FALSE
1996-11-21,10.59,FALSE
1996-11-22,10.65,FALSE
1996-11-25,10.69,FALSE
1996-11-26,10.75,FALSE
1996-11-27,10.66,FALSE
1996-11-28,10.66,TRUE
1996-11-29,10.66,TRUE
1996-12-02,10.66,FALSE
1996-12-03,10.27,FALSE
1996-12-04,10.3,FALSE
1996-12-05,10.31,FALSE
1996-12-06,10.4,FALSE
1996-12-09,10.3,FALSE
1996-12-10,10.35,FALSE
1996-12-11,10.42,FALSE
1996-12-12,10.46,FALSE
1996-12-13,10.73,FALSE
1996-12-16,10.56,FALSE
1996-12-17,10.77,FALSE
1996-12-18,10.86,FALSE
1996-12-19,10.71,FALSE
1996-12-20,10.69,FALSE
1996-12-23,10.75,FALSE
1996-12-24,10.73,FALSE
1996-12-25,10.7833333333333,TRUE
1996-12-26,10.8366666666667,TRUE
1996-12-27,10.89,FALSE
1996-12-30,10.99,FALSE
1996-12-31,11,FALSE
1997-01-01,10.97,TRUE
1997-01-02,10.94,FALSE
1997-01-03,11.08,FALSE
1997-01-06,11.07,FALSE
1997-01-07,10.96,FALSE
1997-01-08,10.87,FALSE
1997-01-09,10.72,FALSE
1997-01-10,10.64,FALSE
1997-01-13,10.49,FALSE
1997-01-14,10.51,FALSE
1997-01-15,10.62,FALSE
1997-01-16,10.57,FALSE
1997-01-17,10.52,FALSE
1997-01-20,10.35,FALSE
1997-01-21,10.17,FALSE
1997-01-22,10.17,FALSE
1997-01-23,10.15,FALSE
1997-01-24,10.24,FALSE
1997-01-27,10.44,FALSE
1997-01-28,10.41,FALSE
1997-01-29,10.33,FALSE
1997-01-30,10.39,FALSE
1997-01-31,10.45,FALSE
1997-02-03,10.42,FALSE
1997-02-04,10.44,FALSE
1997-02-05,10.58,FALSE
1997-02-06,10.66,FALSE
1997-02-07,10.6,FALSE
1997-02-10,10.51,FALSE
1997-02-11,10.63,FALSE
1997-02-12,10.66,FALSE
1997-02-13,10.64,FALSE
1997-02-14,10.78,FALSE
1997-02-17,10.885,TRUE
1997-02-18,10.92,FALSE
1997-02-19,11.25,FALSE
1997-02-20,11.33,FALSE
1997-02-21,11.18,FALSE
1997-02-24,10.92,FALSE
1997-02-25,10.8,FALSE
1997-02-26,10.9,FALSE
1997-02-27,11.05,FALSE
1997-02-28,11.32,FALSE
1997-03-03,10.84,FALSE
1997-03-04,10.88,FALSE
1997-03-05,10.86,FALSE
1997-03-06,10.93,FALSE
1997-03-07,10.97,FALSE
1997-03-10,11.03,FALSE
1997-03-11,10.92,FALSE
1997-03-12,10.77,FALSE
1997-03-13,10.76,FALSE
1997-03-14,10.9,FALSE
1997-03-17,10.92,FALSE
1997-03-18,10.88,FALSE
