"","Series 1"
"218",2994.364
"219",3041.66666666667
"220",3052.26011363636
"221",3033.71886363636
"222",3174.32761904762
"223",3196.04043478261
"224",3270.26904761905
"225",3220.79136363636
"226",3100.82695652174
"227",2909.091
"228",2959.19347826087
"229",2923.3375
"230",2946.825
"231",2882.23227272727
"232",2866.19965909091
"233",3100.19357142857
"234",3239.02136363636
"235",3325.96043478261
"236",3153.04952380952
"237",3278.455
"238",3198.30181818182
"239",3360.84047619048
"240",3343.15173913043
"241",2966.45047619048
"242",2916.36571428571
"243",3071.92108695652
"244",3078.49523809524
"245",3099.03852272727
"246",3122.51681818182
"247",3049.97523809524
"248",3033.18304347826
"249",2881.18727272727
"250",2711.34952380952
"251",2500.47909090909
"252",2285.89659090909
"253",2194.67625
"254",2034.0815
"255",2057.80043478261
"256",1959.568125
"257",1985.30782608696
"258",1998.24772727273
"259",1988.57952380952
"260",1988.55695652174
"261",1998.29761904762
"262",2097.05454545455
"263",2127.90090909091
"264",1915.1419047619
"265",1950.70869565217
"266",2122.799
"267",2505.99022727273
"268",2624.73571428571
"269",2653.81086956522
"270",2410.75952380952
"271",2357.04727272727
"272",2171.61
"273",2195.088
"274",2134.20043478261
"275",2185.03636363636
"276",2212.95119047619
"277",2267.26717391304
"278",2255.803
"279",2200.48571428571
"280",2331.13806818182
"281",2317.45054347826
"282",2407.73
"283",2416.53086956522
"284",2194.69727272727
"285",2304.40380952381
"286",2435.27173913043
"287",2519.66333333333
"288",2440.76386363636
"289",2596.64826086957
"290",2716.2105
"291",2338.47181818182
"292",2270.43375
"293",2315.81619047619
"294",2228.35681818182
"295",2101.74260869565
"296",2348.67571428571
"297",2457.89590909091
"298",2292.05590909091
"299",2358.18523809524
"300",2405.93956521739
"301",2392.62345238095
"302",2405.4415
"303",2462.46652173913
"304",2368.40875
"305",2412.04095238095
"306",2366.23363636364
"307",2327.1
"308",2484.31181818182
"309",2558.09318181818
"310",2567.56904761905
"311",2393.32590909091
"312",2384.98532608696
"313",2467.35523809524
"314",2550.945
"315",2461.38
"316",2456.82119047619
"317",2366.61681818182
"318",2321.78090909091
"319",2239.58285714286
"320",2270.56565217391
"321",2226.05454545455
"322",2245.00523809524
"323",2382.31954545455
"324",2459.02954545455
"325",2538.77625
"326",2587.361
"327",2669.12695652174
"328",2822.15975
"329",2906.145
"330",3124.21863636364
"331",3348.39333333333
"332",3444.08
"333",3625.33571428571
"334",3691.61227272727
"335",4096.15818181818
"336",4251.00095238095
"337",4444.88173913043
"338",5640.0880952381
"339",7535.08869047619
"340",9876.57954545455
"341",7777.37195652174
"342",8380.1235
"343",7164.61869565217
"344",6791.95454545455
"345",6421.82238095238
"346",6582.85739130435
"347",7930.12523809524
"348",10363.7693181818
"349",10710.387826087
"350",9827.30421052632
